"features"	"1_Henry_IV"	"2_Henry_IV"	"2_Henry_VI"	"3_Henry_VI"	"A_Midsummer_Night's_Dream"	"All's_Well_That_Ends_Well"	"Antony_and_Cleopatra"	"As_You_Like_It"	"Coriolanus"	"Cymbeline"	"Hamlet"	"Henry_V"	"Julius_Caesar"	"King_John"	"King_Lear"	"Love's_Labours_Lost"	"Much_Ado_About_Nothing"	"Othello"	"Richard_II"	"Richard_III"	"Romeo_and_Juliet"	"The_Comedy_of_Errors"	"The_Merchant_of_Venice"	"The_Merry_Wives_of_Windsor"	"The_Taming_of_the_Shrew"	"The_Tempest"	"The_Two_Gentlemen_of_Verona"	"The_Winter's_Tale"	"Troilus_and_Cressida"	"Twelfth_Night"
"m o r e"	0.208611753968513	0.192730448399434	0.194366365647988	0.239551156779928	0.257486172038909	0.247008071249652	0.215524072137175	0.309101316542645	0.285200924050994	0.307167235494881	0.250979094268851	0.151630022744503	0.150977271799894	0.164667979237516	0.262553331145389	0.17865437524565	0.175396635573627	0.227562352084471	0.177798651414002	0.143128529419419	0.228909984514913	0.187518312335189	0.256487628243814	0.183285886986702	0.213135459425324	0.260750011852273	0.250816336188538	0.296520614491656	0.232294782078458	0.26686179141738
"k n o w"	0.185794843378207	0.150570662812058	0.134561330063991	0.0945596671499716	0.143047873354949	0.431394377957139	0.225032487084403	0.225147872543408	0.231012748481305	0.244596131968146	0.245463070218986	0.179709656586078	0.3223568776268	0.132450331125828	0.34788316376764	0.200092900275128	0.314916686598103	0.294313975362583	0.130832969908417	0.156140213912093	0.164949841782805	0.334016993847055	0.21876885938443	0.233981983387279	0.260498894853173	0.146968188498554	0.246083952486868	0.296520614491656	0.211968988646593	0.275470236301812
"t h e y"	0.234688223214577	0.177673382118228	0.209317624543987	0.157599445249953	0.152584398245279	0.226134149735597	0.218693543786251	0.25186033199771	0.382169238228332	0.170648464163823	0.242705058194054	0.283604301799905	0.25706940874036	0.125290853767675	0.167377748605185	0.282273912888127	0.306944112253847	0.215425693306633	0.194572109094569	0.213391625679861	0.171682488386185	0.199238206856138	0.16973445986723	0.261279881449128	0.114461635617303	0.336604560754753	0.17509819696181	0.236585596668875	0.238102151630419	0.129126673266474
"h i c h"	0.156458815476384	0.243924473755533	0.0807367980383948	0.122927567294963	0.181193972916269	0.29919287503479	0.342302938100219	0.21751574127075	0.285200924050994	0.352673492605233	0.162722709471013	0.190941510122708	0.191781939853919	0.218364059423662	0.246143747948802	0.239396862829171	0.223232081639161	0.142605740639602	0.224764332919588	0.195175267390116	0.208712044704773	0.128918839730442	0.226312613156307	0.101392192801154	0.102620776760341	0.336604560754753	0.194027731768492	0.381691429292451	0.127762130143152	0.10330133861318
"w h i c"	0.156458815476384	0.243924473755533	0.0807367980383948	0.122927567294963	0.181193972916269	0.29919287503479	0.342302938100219	0.21751574127075	0.285200924050994	0.352673492605233	0.162722709471013	0.190941510122708	0.191781939853919	0.218364059423662	0.246143747948802	0.239396862829171	0.223232081639161	0.142605740639602	0.224764332919588	0.195175267390116	0.208712044704773	0.128918839730442	0.226312613156307	0.101392192801154	0.102620776760341	0.336604560754753	0.194027731768492	0.381691429292451	0.127762130143152	0.10330133861318
"w h e n"	0.221649988591545	0.186707621886952	0.146522337180791	0.189119334299943	0.290864009155064	0.233092123573615	0.240879845329784	0.21751574127075	0.256680831645895	0.193401592718999	0.143416625296486	0.134782242439559	0.27339127596197	0.164667979237516	0.239579914670167	0.221531425304606	0.235190943155545	0.172947387584198	0.137542352980643	0.215993962578395	0.185147781592944	0.228537943158512	0.211225105612553	0.124790391139882	0.165772023997474	0.208600009481819	0.260281103591879	0.160878205734835	0.194546879990708	0.150647785477553
"t h e m"	0.237947781870335	0.20778751468064	0.254171401231984	0.195423312109941	0.152584398245279	0.191344280545505	0.190168298944566	0.1450104941805	0.387873256709352	0.224687144482366	0.206850901869932	0.241484851037542	0.261149875545762	0.15034902452121	0.167377748605185	0.146496587701433	0.223232081639161	0.148674070028521	0.117414203763964	0.187368256694512	0.141385578670976	0.205098154116613	0.173506336753168	0.198884685879187	0.169718976949795	0.213340918788224	0.212957266575174	0.223967698179868	0.153895293126978	0.124822450824259
"l i k e"	0.228169105903061	0.231878820730569	0.185395610310388	0.245855134589926	0.152584398245279	0.149596437517395	0.215524072137175	0.236596069452395	0.228160739240795	0.207622298065984	0.259253130343648	0.230252997500913	0.167299139021504	0.186146411311974	0.167377748605185	0.203665987780041	0.231204655983417	0.121366587778385	0.161025193733436	0.124912171129674	0.168316165084495	0.16407852329329	0.154646952323476	0.20668408532543	0.201294600568361	0.213340918788224	0.227154417680186	0.201886375824106	0.197450564766689	0.197994232341927
"h e i r"	0.153199256820626	0.180684795374469	0.236229890556785	0.286830990354914	0.238413122258249	0.104369607570276	0.215524072137175	0.133562297271513	0.373613210506802	0.199089874857793	0.135142589221689	0.353803386403841	0.248908475129555	0.25058170753535	0.177223498523138	0.207239075284954	0.107629753647453	0.148674070028521	0.244892482136268	0.236812657766674	0.148118225274355	0.158218576032816	0.0942969221484611	0.132589790586125	0.0947268708556994	0.246527283933058	0.137239127348445	0.173496104223842	0.168413717006882	0.068867559075453
"s e l f"	0.156458815476384	0.111422290480923	0.188385862089588	0.192271323204942	0.0715239366774747	0.247008071249652	0.196507242242718	0.164090822362145	0.148304480506517	0.207622298065984	0.239947046169121	0.131974279055401	0.220345207491737	0.178986933953821	0.180505415162455	0.132204237681781	0.239177230327673	0.212391528612173	0.234828407527928	0.231607983969605	0.171682488386185	0.257837679460885	0.192365721182861	0.20668408532543	0.14603725923587	0.161190916417769	0.279210638398561	0.214504274313113	0.232294782078458	0.206602677226359
